user,latitude,longitude,date,day_of_week,hour,categoria
User_3401,-26.489503,-49.028018,2018-07-08,Saturday,18,bakery
User_539,-14.4574,-46.433148,2018-07-08,Sunday,7,restaurant
User_789,-8.903859,-36.487485,2018-07-08,Saturday,9,night_club
User_2814,-22.82396,-43.012243,2018-07-08,Saturday,22,store
User_3432,-24.949576,-53.488507,2018-07-08,Sunday,3,restaurant
User_5899,-23.023833,-43.509475,2018-07-03,Sunday,3,pet_store
User_2117,-7.223518,-35.910378,2018-07-03,Saturday,20,restaurant
User_760,-23.531517,-46.890123,2018-07-02,Sunday,12,pet_store
User_2286,-1.446357,-48.490529,2018-07-03,Sunday,10,store
User_3763,-12.234119,-38.953312,2018-07-03,Sunday,12,school
User_5627,-23.541751,-46.629348,2018-07-03,Sunday,13,restaurant
User_787,-3.088815,-59.942324,2018-07-03,Saturday,22,place_of_worship
User_4007,-22.913042,-43.17121,2018-07-15,Saturday,20,doctor
User_4901,-23.508418,-46.449449,2018-07-15,Sunday,13,store
User_5617,-22.740572,-41.972438,2018-07-15,Sunday,13,hospital
User_2998,-22.559323,-47.164889,2018-07-15,Sunday,8,restaurant
User_4167,-23.517663,-46.421868,2018-07-15,Sunday,13,doctor
User_391,-10.890763,-37.07787,2018-07-09,Sunday,13,store
User_765,-9.458676,-35.538169,2018-07-09,Sunday,20,store
User_2926,-2.53397,-44.291229,2018-07-09,Sunday,18,school
User_1954,-12.241457,-38.949246,2018-07-09,Saturday,22,car_repair
User_2422,-20.219278,-40.275314,2018-07-09,Sunday,18,beauty_salon
User_1448,-21.802988,-48.193333,2018-07-09,Sunday,15,campground
User_1898,-7.234194,-35.917496,2018-07-09,Sunday,18,store
User_4142,-22.145943,-49.965196,2018-07-09,Sunday,8,hair_care
User_5451,-23.690506,-46.699434,2018-07-09,Sunday,17,school
User_4890,-22.893107,-43.126441,2018-07-10,Friday,8,bar
User_5692,-19.972985,-44.028886,2018-07-10,Friday,9,doctor
User_4436,-19.960783,-43.927698,2018-07-10,Thursday,21,restaurant
User_4644,-15.780979,-47.908624,2018-07-10,Thursday,16,doctor
User_426,-12.254678,-38.977697,2018-07-10,Thursday,21,hospital
User_2979,-29.578727,-50.806156,2018-07-10,Thursday,21,doctor
User_3391,-22.773109,-47.15076,2018-07-11,Wednesday,16,storage
User_1154,-16.655672,-49.260823,2018-07-11,Saturday,13,store
User_1477,-8.794859,-39.827066,2018-07-10,Friday,7,restaurant
User_675,-31.395185,-52.673046,2018-07-11,Friday,8,car_dealer
User_413,-5.300807,-44.493197,2018-07-10,Thursday,21,restaurant
User_3300,-22.958387,-43.065971,2018-07-11,Friday,6,cultural_venue
User_5140,-23.670074,-46.456905,2018-07-11,Friday,8,gas_station
User_1195,-23.541361,-46.638404,2018-07-11,Friday,8,bar
User_5976,-4.83406,-40.319114,2018-07-12,Friday,6,cafe
User_1449,-19.99357,-44.029428,2018-07-12,Friday,10,doctor
User_4054,-22.868993,-43.268939,2018-07-12,Friday,10,electronics_store
User_1055,-22.83695,-43.011305,2018-07-12,Friday,8,doctor
User_3021,-1.441684,-48.495186,2018-07-12,Friday,7,place_of_worship
User_4749,-3.113177,-60.046779,2018-07-12,Friday,9,well_being
User_740,-23.656267,-46.851134,2018-07-12,Friday,10,store
User_3835,-12.874975,-38.306098,2018-07-07,Friday,10,bakery
User_2954,-3.776728,-38.627615,2018-07-07,Friday,10,shopping_mall
User_2555,-23.036172,-44.151142,2018-07-07,Friday,2,qsr
User_4593,-22.861137,-43.089882,2018-07-07,Friday,8,courthouse
User_5489,-29.686353,-51.460796,2018-07-07,Friday,9,store
User_5969,-23.50208,-46.627122,2018-07-07,Friday,8,storage
User_936,-22.125119,-51.415169,2018-07-07,Thursday,17,bowling_alley
User_5072,-11.270689,-41.946469,2018-07-07,Friday,9,grocery_or_supermarket
User_4777,-27.812708,-50.31356,2018-07-07,Friday,9,bar
User_5495,-22.883535,-43.250734,2018-07-07,Friday,9,store
User_392,-9.441383,-40.493812,2018-07-07,Friday,10,bar
User_2444,-16.210526,-47.927689,2018-07-12,Friday,10,restaurant
User_842,-22.712527,-47.64019,2018-07-13,Friday,10,sports_center
User_1095,-22.885244,-43.124567,2018-07-13,Friday,10,car_repair
User_3684,-12.980724,-38.519979,2018-07-12,Friday,10,lodging
User_2947,-16.686471,-49.266087,2018-07-13,Thursday,12,doctor
User_3767,-21.895339,-49.58552,2018-07-13,Friday,10,gas_station
User_5463,-3.755869,-38.515454,2018-07-13,Friday,10,doctor
User_3251,-22.008418,-51.553788,2018-07-13,Friday,10,city_hall
User_4495,-22.861462,-43.102645,2018-07-13,Friday,10,store
User_1674,-22.967369,-43.690222,2018-07-13,Friday,10,restaurant
User_3997,-23.741921,-46.686681,2018-07-13,Friday,7,car_repair
User_816,-7.132083,-34.872206,2018-07-13,Tuesday,23,electrician
User_2425,-23.51895,-46.342445,2018-07-13,Tuesday,23,restaurant
User_479,-8.116688,-34.962228,2018-07-13,Tuesday,23,school
User_109,-30.085009,-51.18805,2018-07-13,Tuesday,23,restaurant
User_2745,-15.903206,-48.061961,2018-07-13,Wednesday,20,restaurant
User_689,-22.850805,-47.192367,2018-07-05,Wednesday,20,bakery
User_3745,-26.969954,-48.639582,2018-07-04,Wednesday,7,bakery
User_1350,-22.420424,-45.46656,2018-07-05,Wednesday,7,school
User_5399,-23.587684,-46.678294,2018-07-05,Tuesday,11,restaurant
User_2549,-1.711638,-48.879581,2018-07-05,Wednesday,1,grocery_or_supermarket
User_336,-19.925696,-43.940605,2018-07-05,Wednesday,6,plumber
User_596,-3.084843,-60.067107,2018-07-05,Wednesday,5,storage
User_4162,-23.487201,-46.613209,2018-07-05,Wednesday,6,cultural_venue
User_3486,-22.786837,-43.31218,2018-07-05,Tuesday,16,bar
User_2749,-16.041743,-48.036647,2018-07-05,Tuesday,22,bank
User_230,-18.934727,-48.316658,2018-07-05,Tuesday,19,school
User_2398,-20.196165,-40.273928,2018-07-05,Tuesday,23,restaurant
User_5942,-23.483624,-46.691462,2018-07-05,Tuesday,19,restaurant
User_1908,-3.117465,-59.975317,2018-07-05,Tuesday,19,beauty_salon
User_1714,-23.634123,-46.545265,2018-07-05,Tuesday,23,hospital
User_2204,-8.097804,-34.885166,2018-07-05,Tuesday,17,car_wash
User_4201,-15.610609,-56.07203,2018-07-05,Tuesday,20,place_of_worship
User_863,-3.812604,-38.576702,2018-07-05,Tuesday,21,gym
User_670,-27.597413,-48.548025,2018-07-05,Tuesday,20,store
User_2174,-12.95734,-38.495776,2018-07-05,Tuesday,21,store
User_5211,-8.086222,-34.894459,2018-07-05,Monday,21,restaurant
User_3439,-2.511356,-44.294662,2018-07-05,Monday,20,shoe_store
User_2667,-3.758112,-38.553766,2018-07-05,Monday,23,restaurant
User_1842,-7.159778,-34.841707,2018-07-05,Monday,23,storage
User_4235,-8.040353,-34.954597,2018-07-05,Monday,23,university
User_2644,-17.870159,-41.487237,2018-07-05,Monday,23,lodging
User_2076,-22.314114,-49.059358,2018-07-05,Monday,23,school
User_1844,-22.423305,-45.452421,2018-07-12,Monday,21,cafe
User_3097,-23.188197,-46.856168,2018-07-12,Monday,17,bakery
User_1684,-22.922226,-43.633588,2018-07-12,Monday,21,bus_station
User_5052,-3.808411,-38.537562,2018-07-12,Monday,20,cultural_venue
User_2984,-29.715875,-49.991833,2018-07-12,Monday,21,electronics_store
User_5167,-23.013906,-43.462353,2018-07-12,Saturday,16,store
User_4989,-16.47942,-54.617955,2018-07-12,Monday,20,car_repair
User_312,-15.783997,-48.121575,2018-07-11,Monday,20,car_rental
User_3505,-16.756967,-49.256423,2018-07-11,Monday,21,store
User_919,-27.591693,-48.558875,2018-07-11,Monday,17,store
User_1841,-12.905039,-38.397563,2018-07-11,Monday,21,store
User_5634,-21.198454,-47.815331,2018-07-10,Monday,21,pet_store
User_230,-23.084662,-46.976411,2018-07-11,Monday,21,shopping_mall
User_4511,-27.615753,-48.524804,2018-07-12,Monday,21,restaurant
User_1489,-7.178358,-34.868776,2018-07-11,Monday,21,lodging
User_4574,-23.428541,-46.482996,2018-07-12,Monday,21,doctor
